% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from (SEE Original files for sources) and recorded on 2017-06-16 18:07:12.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , infl-ig-ht, high- a-lt, high- a-lt, infl-ig-ht. See the list of files below
% 20160908_VIS_C0_refined_Langley_airborne_ORACLES_v1.dat
% 20160902_VIS_C0_refined_high_alt_low_m.dat
% 20160904_VIS_C0_refined_high_alt_low_m.dat
% 20160824_VIS_C0_refined_langley_4STAR.dat
Pix Wavelength C0 C0err
0 173.18 -5.00000000e-01 5.77350269e-01 
1 173.98 -1.00000000e+00 0.00000000e+00 
2 174.77 -1.00000000e+00 0.00000000e+00 
3 175.56 -1.00000000e+00 0.00000000e+00 
4 176.36 -1.00000000e+00 0.00000000e+00 
5 177.15 -1.00000000e+00 0.00000000e+00 
6 177.94 -1.00000000e+00 0.00000000e+00 
7 178.74 -1.00000000e+00 0.00000000e+00 
8 179.53 -1.00000000e+00 0.00000000e+00 
9 180.33 -1.00000000e+00 0.00000000e+00 
10 181.12 -1.00000000e+00 0.00000000e+00 
11 181.92 -1.00000000e+00 0.00000000e+00 
12 182.71 -1.00000000e+00 0.00000000e+00 
13 183.51 -1.00000000e+00 0.00000000e+00 
14 184.30 -1.00000000e+00 0.00000000e+00 
15 185.10 -1.00000000e+00 0.00000000e+00 
16 185.89 -1.00000000e+00 0.00000000e+00 
17 186.69 -1.00000000e+00 0.00000000e+00 
18 187.49 -1.00000000e+00 0.00000000e+00 
19 188.28 -1.00000000e+00 0.00000000e+00 
20 189.08 -1.00000000e+00 0.00000000e+00 
21 189.88 -1.00000000e+00 0.00000000e+00 
22 190.67 -1.00000000e+00 0.00000000e+00 
23 191.47 -1.00000000e+00 0.00000000e+00 
24 192.27 -1.00000000e+00 0.00000000e+00 
25 193.07 -1.00000000e+00 0.00000000e+00 
26 193.86 -1.00000000e+00 0.00000000e+00 
27 194.66 -1.00000000e+00 0.00000000e+00 
28 195.46 -1.00000000e+00 0.00000000e+00 
29 196.26 -1.00000000e+00 0.00000000e+00 
30 197.05 -1.00000000e+00 0.00000000e+00 
31 197.85 -1.00000000e+00 0.00000000e+00 
32 198.65 -1.00000000e+00 0.00000000e+00 
33 199.45 -1.00000000e+00 0.00000000e+00 
34 200.25 -1.00000000e+00 0.00000000e+00 
35 201.05 -1.00000000e+00 0.00000000e+00 
36 201.85 -1.00000000e+00 0.00000000e+00 
37 202.65 -1.00000000e+00 0.00000000e+00 
38 203.44 -1.00000000e+00 0.00000000e+00 
39 204.24 -1.00000000e+00 0.00000000e+00 
40 205.04 -1.00000000e+00 0.00000000e+00 
41 205.84 -1.00000000e+00 0.00000000e+00 
42 206.64 -1.00000000e+00 0.00000000e+00 
43 207.44 -1.00000000e+00 0.00000000e+00 
44 208.24 -1.00000000e+00 0.00000000e+00 
45 209.04 -7.50000000e-01 5.00000000e-01 
46 209.84 4.45545960e+34 8.91091920e+34 
47 210.64 6.70697157e+33 1.34139431e+34 
48 211.44 1.03278367e+33 2.06556733e+33 
49 212.24 1.57124901e+32 3.14249803e+32 
50 213.04 2.10960050e+35 4.21855468e+35 
51 213.85 2.53207977e+34 5.06317800e+34 
52 214.65 3.17637942e+33 6.35124334e+33 
53 215.45 3.84700408e+32 7.69164439e+32 
54 216.25 4.61900043e+31 9.23438926e+31 
55 217.05 5.76130303e+30 1.15169968e+31 
56 217.85 7.06202065e+29 1.41154844e+30 
57 218.65 8.73861396e+28 1.74641805e+29 
58 219.46 1.08803714e+28 2.17401674e+28 
59 220.26 1.33702409e+27 2.67095252e+27 
60 221.06 1.66254014e+26 3.32020369e+26 
61 221.86 2.07277395e+25 4.13791504e+25 
62 222.66 2.56701118e+24 5.12226996e+24 
63 223.47 3.18580433e+23 6.35328821e+23 
64 224.27 3.93409185e+22 7.84000367e+22 
65 225.07 4.85666916e+21 9.66957173e+21 
66 225.87 6.26769369e+20 1.24665411e+21 
67 226.68 7.93838440e+19 1.57656906e+20 
68 227.48 1.03440156e+19 2.05057918e+19 
69 228.28 1.56756178e+18 3.10133936e+18 
